stock,group,model,rmse,prediction
Stock 1,large,LinearRegression,4.866701964799505,273.9293367722251
Stock 1,large,Ridge,4.866702381083942,273.9279243843147
Stock 1,large,Lasso,4.866617058469284,273.91306866778103
Stock 1,large,ElasticNet,4.870825455513545,273.78071958995275
Stock 1,large,BayesianRidge,4.866701963173245,273.9292260000989
Stock 1,large,HuberRegressor,4.866945553971128,273.9089597415822
Stock 1,large,KNN,7.443426418783531,273.18881972232555
Stock 1,large,SVR_RBF,8.18900065454075,275.0239506184533
Stock 1,large,RandomForest,5.675541130130859,275.7461301045861
Stock 1,large,ExtraTrees,5.446851807339897,275.1619916552116
Stock 1,large,GradientBoosting,5.548088462891485,271.54099740960106
Stock 1,large,HistGradientBoosting,5.39716900093489,274.15612997185764
Stock 1,large,AdaBoost,17.18531312726358,265.0654647195584
Stock 1,large,XGBoost,6.063071303168549,275.49859619140625
Stock 1,large,LightGBM,5.472333226489946,274.58775031115243
Stock 2,small,LinearRegression,9.718803355084937,220.87822594316037
Stock 2,small,Ridge,9.718695204790366,220.91146471287362
Stock 2,small,Lasso,9.716593203297426,220.91936176539147
Stock 2,small,ElasticNet,9.724375587588101,221.14499534268577
Stock 2,small,BayesianRidge,9.718708481356112,220.89941462962017
Stock 2,small,HuberRegressor,9.727302080301452,220.2142980433456
Stock 2,small,SVR_Linear,9.797399515104454,220.47081849247837
Stock 2,small,SVR_RBF,29.77494531196322,227.41279015773114
Stock 2,small,KNN,25.351897957328667,220.3309633116946
Stock 2,small,RandomForest,29.025810863835623,228.45061501864376
Stock 2,small,ExtraTrees,32.12833201470061,235.2178553476736
Stock 2,small,GradientBoosting,28.5021494956876,237.45910378373003
Stock 3,tiny,LinearRegression,19.079938053923453,259.5597908484709
Stock 3,tiny,Ridge,18.946205038863397,257.82368380454915
Stock 3,tiny,Lasso,19.076221069784506,259.5586808303648
Stock 3,tiny,ElasticNet,19.046608820915317,259.29973279661994
Stock 3,tiny,BayesianRidge,19.030618550904045,258.93354128430303
Stock 3,tiny,HuberRegressor,16.213255314319515,249.505276245779
Stock 3,tiny,SVR_Linear,54.401706931535436,207.74009896326376
Stock 3,tiny,SVR_RBF,60.15824520808044,199.19985186099038
Stock 3,tiny,KNN,34.053546707376114,218.18775086860583
Stock 3,tiny,RandomForest,35.45101862396055,162.63407158719437
Stock 4,large,LinearRegression,25.771683324549212,248.84411102648485
Stock 4,large,Ridge,25.771676520041318,248.84388473724073
Stock 4,large,Lasso,25.771499659517815,248.83059898293965
Stock 4,large,ElasticNet,25.77139098818708,248.82600567752522
Stock 4,large,BayesianRidge,25.77162423548997,248.82755415880126
Stock 4,large,HuberRegressor,25.763829684456294,247.4143086910715
Stock 4,large,KNN,26.614958758157506,239.7214206510535
Stock 4,large,SVR_RBF,24.75386557380161,235.97019589937696
Stock 4,large,RandomForest,25.01568074061586,235.25830372611472
Stock 4,large,ExtraTrees,24.75925577472132,234.17644565997804
Stock 4,large,GradientBoosting,24.658283934828482,236.55545513757684
Stock 4,large,HistGradientBoosting,24.72856336803036,231.86038293671982
Stock 4,large,AdaBoost,25.846464258087757,247.08306052957528
Stock 4,large,XGBoost,26.772213361031824,220.77764892578125
Stock 4,large,LightGBM,25.156505579582426,226.79342176187745
Stock 5,small,LinearRegression,28.03227820587476,249.0109260612642
Stock 5,small,Ridge,28.02088079614155,249.02810305176382
Stock 5,small,Lasso,28.018949525755076,248.97680046556584
Stock 5,small,ElasticNet,27.992398368527642,249.06109231360412
Stock 5,small,BayesianRidge,27.823732608958604,249.64692499201144
Stock 5,small,HuberRegressor,27.585154471549103,249.3686337819793
Stock 5,small,SVR_Linear,27.566392329731933,250.5513938087903
Stock 5,small,SVR_RBF,28.74191930567579,253.07459828697085
Stock 5,small,KNN,32.53316168551732,238.85739261707386
Stock 5,small,RandomForest,29.18978447961545,246.82775655570714
Stock 5,small,ExtraTrees,28.76174369642009,248.64599307819765
Stock 5,small,GradientBoosting,29.237627527534496,247.16615066293534
Stock 6,tiny,LinearRegression,38.53650457696142,174.92336903930166
Stock 6,tiny,Ridge,38.45434066156545,174.92023322595162
Stock 6,tiny,Lasso,38.52774448196948,174.95458930482138
Stock 6,tiny,ElasticNet,38.482889409454124,174.93589443937438
Stock 6,tiny,BayesianRidge,37.3116791308277,173.63059303006096
Stock 6,tiny,HuberRegressor,38.049066490935964,171.51628684009026
Stock 6,tiny,SVR_Linear,36.593588906454,166.70323872478156
Stock 6,tiny,SVR_RBF,36.08392619374729,164.94210043708603
Stock 6,tiny,KNN,45.986974770235,136.97037215289095
Stock 6,tiny,RandomForest,39.8390197773937,172.75811073877207
Stock 7,large,LinearRegression,15.546094225440608,214.71383862901538
Stock 7,large,Ridge,15.546091579666703,214.71367891602293
Stock 7,large,Lasso,15.545354365612898,214.64846151944934
Stock 7,large,ElasticNet,15.545549825021435,214.66521728600617
Stock 7,large,BayesianRidge,15.545207527883193,214.61297791495224
Stock 7,large,HuberRegressor,15.547889019462204,214.25219025875614
Stock 7,large,KNN,16.46728996304395,213.78857408710084
Stock 7,large,SVR_RBF,15.523051882431849,214.48295847989306
Stock 7,large,RandomForest,15.604858354188721,217.01709651193042
Stock 7,large,ExtraTrees,15.547320016105768,215.1460258622059
Stock 7,large,GradientBoosting,15.553348887074133,214.02999864556315
Stock 7,large,HistGradientBoosting,15.559978993227798,215.14995855932042
Stock 7,large,AdaBoost,15.72254838192165,211.4053923366907
Stock 7,large,XGBoost,16.757187535341906,216.84365844726562
Stock 7,large,LightGBM,15.739959182839897,218.355273169684
Stock 8,small,LinearRegression,26.172951864590157,200.5568658963211
Stock 8,small,Ridge,26.169739176517925,200.59794715128007
Stock 8,small,Lasso,26.15599514886752,200.89407361010305
Stock 8,small,ElasticNet,26.14344004502069,201.0601146628828
Stock 8,small,BayesianRidge,26.018561169645142,201.9344809112379
Stock 8,small,HuberRegressor,26.04659903373229,200.35855733927073
Stock 8,small,SVR_Linear,26.033974717104766,200.05523714574616
Stock 8,small,SVR_RBF,26.025393021950443,197.01724969982433
Stock 8,small,KNN,29.17457756024861,199.99496929257432
Stock 8,small,RandomForest,26.11296802092459,201.4748210394033
Stock 8,small,ExtraTrees,26.057507142997654,199.8163242803044
Stock 8,small,GradientBoosting,26.50271156582629,200.72238029912944
Stock 9,tiny,LinearRegression,46.21093719889977,219.16450885329994
Stock 9,tiny,Ridge,42.11566239048699,219.99914119855814
Stock 9,tiny,Lasso,46.01791482505439,219.26324481762933
Stock 9,tiny,ElasticNet,44.56227090977311,219.496165470087
Stock 9,tiny,BayesianRidge,28.782955805102766,218.6061780814834
Stock 9,tiny,HuberRegressor,44.00628499196177,209.03028551462438
Stock 9,tiny,SVR_Linear,31.02345194367753,217.87113971307426
Stock 9,tiny,SVR_RBF,28.678966057206058,215.26656436395137
Stock 9,tiny,KNN,38.449276465770865,230.49846076621404
Stock 9,tiny,RandomForest,35.29898085116085,225.88739016092836
