stock,group,model,rmse,prediction
Stock 4,large,LinearRegression,19.264059972458444,247.86279043246606
Stock 4,large,Ridge,19.264054208054993,247.86264059177108
Stock 4,large,Lasso,19.26348026397841,247.85404342180027
Stock 4,large,ElasticNet,19.2636409745243,247.85115025687728
Stock 4,large,BayesianRidge,19.26387925199713,247.85566742736535
Stock 4,large,HuberRegressor,19.26904533708068,247.2247466016385
Stock 4,large,KNN,19.61056725630893,239.7214206510535
Stock 4,large,SVR_RBF,18.104126552199112,236.12167719373886
Stock 4,large,RandomForest,18.09136781792249,234.8807990375696
Stock 4,large,ExtraTrees,18.062000421689667,233.9341981894436
Stock 4,large,GradientBoosting,17.926201730358542,236.7896537744665
Stock 4,large,HistGradientBoosting,17.99308338427094,233.6914166812252
Stock 4,large,AdaBoost,19.775311037731864,246.7259421850567
Stock 4,large,XGBoost,19.5181261741242,236.10887145996094
Stock 4,large,LightGBM,18.34359244928527,235.7064951695148
